maintenance_id,truck_id,maintenance_date,maintenance_type,odometer_reading,labor_hours,labor_cost,parts_cost,total_cost,facility_location,downtime_hours,service_description
MAINT00000034,TRK00077,2022-01-11,Repair,479412,0.9,92.6,1010.33,1102.93,Omaha,26.6,Emergency Repair
MAINT00000035,TRK00034,2022-01-12,Preventive,613026,4.5,516.01,1874.09,2390.1,Nashville,25.3,Scheduled Preventive
MAINT00000036,TRK00006,2022-01-12,Engine,183616,1.5,129.95,2094.46,2224.41,Detroit,36.5,Routine Engine
MAINT00000037,TRK00117,2022-01-12,Inspection,563953,1.1,121.15,13.56,134.71,Minneapolis,7.5,Scheduled Inspection
MAINT00000038,TRK00025,2022-01-12,Repair,248118,2.7,286.6,1636.24,1922.84,Omaha,23.4,Scheduled Repair
MAINT00000039,TRK00003,2022-01-13,Engine,162744,7.8,915.93,1554.25,2470.18,Denver,19.6,Routine Engine
MAINT00000040,TRK00034,2022-01-13,Transmission,575306,8.0,750.05,3028.64,3778.69,Philadelphia,18.6,Routine Transmission
MAINT00000041,TRK00029,2022-01-13,Tire,707686,5.9,670.86,165.0,835.86,Phoenix,8.5,Emergency Tire
MAINT00000042,TRK00077,2022-01-13,Inspection,93731,2.8,348.5,126.74,475.24,Miami,21.1,Routine Inspection
MAINT00000043,TRK00099,2022-01-13,Preventive,194594,0.8,75.58,3478.03,3553.61,Miami,5.7,Routine Preventive
MAINT00000044,TRK00006,2022-01-14,Engine,629714,4.2,386.73,1058.81,1445.54,Denver,23.1,Routine Engine
MAINT00000045,TRK00032,2022-01-14,Engine,250887,3.7,451.6,1480.04,1931.64,Miami,47.2,Routine Engine
MAINT00000046,TRK00046,2022-01-15,Preventive,204480,1.5,176.83,2490.06,2666.89,Omaha,16.2,Emergency Preventive
MAINT00000047,TRK00006,2022-01-15,Inspection,678182,1.8,216.9,124.7,341.6,Milwaukee,17.6,Scheduled Inspection
MAINT00000048,TRK00013,2022-01-15,Inspection,279252,0.9,82.13,110.0,192.13,Atlanta,48.0,Scheduled Inspection
MAINT00000049,TRK00027,2022-01-17,Repair,542033,2.6,226.89,2765.04,2991.93,Las Vegas,33.8,Scheduled Repair
MAINT00000050,TRK00006,2022-01-17,Repair,615274,2.8,343.6,1866.29,2209.89,Salt Lake City,3.4,Emergency Repair
MAINT00000051,TRK00090,2022-01-17,Tire,588542,3.7,418.6,1210.56,1629.16,Chicago,5.1,Emergency Tire
MAINT00000052,TRK00087,2022-01-18,Brake,188929,4.7,449.12,3135.39,3584.51,Phoenix,30.2,Emergency Brake
MAINT00000053,TRK00027,2022-01-19,Repair,572530,5.6,556.33,2371.49,2927.82,Minneapolis,43.4,Routine Repair
MAINT00000054,TRK00075,2022-01-19,Repair,587436,0.7,74.13,78.69,152.82,Kansas City,19.5,Scheduled Repair
MAINT00000055,TRK00050,2022-01-20,Inspection,406500,6.0,637.02,84.78,721.8,Indianapolis,32.3,Scheduled Inspection
MAINT00000056,TRK00098,2022-01-20,Tire,681754,5.8,519.14,3213.9,3733.04,Omaha,13.4,Scheduled Tire
MAINT00000057,TRK00090,2022-01-21,Transmission,578371,2.0,213.35,1682.53,1895.88,Phoenix,45.4,Scheduled Transmission
MAINT00000058,TRK00107,2022-01-21,Inspection,278740,5.1,549.9,67.42,617.32,Philadelphia,46.5,Scheduled Inspection
MAINT00000059,TRK00001,2022-01-21,Tire,745241,5.2,489.56,2142.69,2632.25,Oklahoma City,20.7,Routine Tire
MAINT00000060,TRK00068,2022-01-21,Preventive,552941,7.4,773.34,1371.24,2144.58,Phoenix,6.4,Emergency Preventive
MAINT00000061,TRK00084,2022-01-22,Inspection,408241,7.1,716.44,51.57,768.01,Los Angeles,27.1,Routine Inspection
MAINT00000062,TRK00118,2022-01-22,Preventive,577806,3.1,358.03,1493.86,1851.89,Omaha,21.3,Routine Preventive
MAINT00000063,TRK00106,2022-01-22,Brake,618758,2.3,229.24,2703.73,2932.97,Memphis,23.0,Scheduled Brake
MAINT00000064,TRK00046,2022-01-23,Engine,613522,6.1,629.35,702.56,1331.91,Memphis,30.2,Routine Engine
MAINT00000065,TRK00064,2022-01-23,Engine,671914,2.5,304.1,2028.26,2332.36,Kansas City,4.2,Scheduled Engine
MAINT00000066,TRK00061,2022-01-23,Tire,634731,2.3,285.6,2714.98,3000.58,Memphis,16.8,Emergency Tire
MAINT00000067,TRK00107,2022-01-23,Brake,695167,6.6,565.13,783.81,1348.94,Atlanta,2.5,Scheduled Brake
MAINT00000068,TRK00036,2022-01-24,Tire,738542,1.2,103.31,3215.47,3318.78,Atlanta,22.0,Scheduled Tire
MAINT00000069,TRK00037,2022-01-24,Engine,103146,1.9,169.06,1877.97,2047.03,Miami,25.5,Emergency Engine
MAINT00000070,TRK00029,2022-01-25,Engine,168425,5.6,619.59,2043.1,2662.69,Phoenix,35.8,Scheduled Engine
MAINT00000071,TRK00096,2022-01-25,Engine,518475,4.6,431.06,98.16,529.22,Seattle,14.4,Routine Engine
MAINT00000072,TRK00096,2022-01-25,Inspection,512578,3.3,384.05,149.23,533.28,Phoenix,2.5,Emergency Inspection
MAINT00000073,TRK00080,2022-01-27,Brake,128003,6.5,752.94,2233.68,2986.62,Charlotte,34.0,Emergency Brake
MAINT00000074,TRK00089,2022-01-27,Brake,226638,3.1,352.34,1444.42,1796.76,Memphis,26.8,Scheduled Brake
MAINT00000075,TRK00060,2022-01-27,Engine,446881,7.1,714.29,2599.71,3314.0,Las Vegas,46.4,Routine Engine
MAINT00000076,TRK00100,2022-01-28,Tire,164286,7.6,899.53,694.87,1594.4,Memphis,45.3,Routine Tire
MAINT00000077,TRK00103,2022-01-28,Engine,705539,4.9,539.43,875.58,1415.01,New York,43.7,Scheduled Engine
MAINT00000078,TRK00076,2022-01-28,Engine,267165,4.1,349.13,1516.37,1865.5,Milwaukee,17.2,Scheduled Engine
MAINT00000079,TRK00019,2022-01-29,Brake,454305,1.6,164.43,680.22,844.65,Denver,18.5,Scheduled Brake
MAINT00000080,TRK00049,2022-01-29,Transmission,326092,1.2,134.33,2396.94,2531.27,Los Angeles,2.3,Emergency Transmission
MAINT00000081,TRK00001,2022-01-29,Brake,290198,2.5,220.3,1528.43,1748.73,Atlanta,42.4,Routine Brake
MAINT00000082,TRK00102,2022-01-30,Transmission,683454,4.3,533.03,2309.25,2842.28,Los Angeles,18.9,Emergency Transmission
MAINT00000083,TRK00004,2022-01-30,Transmission,309629,5.6,560.21,2783.35,3343.56,Los Angeles,26.7,Routine Transmission
MAINT00000084,TRK00086,2022-01-30,Brake,664666,3.7,407.54,1928.67,2336.21,Charlotte,17.7,Scheduled Brake
MAINT00000085,TRK00034,2022-01-31,Preventive,652476,1.3,153.77,3131.87,3285.64,Memphis,16.3,Scheduled Preventive
MAINT00000086,TRK00100,2022-01-31,Transmission,421919,3.4,358.77,1730.08,2088.85,Charlotte,7.4,Scheduled Transmission
MAINT00000087,TRK00072,2022-01-31,Inspection,637198,3.7,386.55,89.01,475.56,Atlanta,4.2,Emergency Inspection
MAINT00000088,TRK00066,2022-01-31,Transmission,303702,1.5,186.61,2461.1,2647.71,Philadelphia,11.8,Emergency Transmission
MAINT00000089,TRK00091,2022-02-01,Tire,338636,0.9,111.68,2519.67,2631.35,Miami,28.2,Emergency Tire
MAINT00000090,TRK00067,2022-02-01,Transmission,726406,0.6,56.91,52.19,109.1,Oklahoma City,34.9,Routine Transmission
MAINT00000091,TRK00026,2022-02-01,Engine,562437,2.2,242.81,1536.83,1779.64,Las Vegas,12.2,Scheduled Engine
MAINT00000092,TRK00113,2022-02-02,Transmission,744719,7.1,634.39,913.61,1548.0,Portland,18.3,Scheduled Transmission
MAINT00000093,TRK00115,2022-02-02,Engine,337651,3.7,439.83,552.41,992.24,Chicago,47.5,Scheduled Engine
MAINT00000094,TRK00085,2022-02-02,Preventive,411248,0.5,54.23,1052.86,1107.09,Columbus,30.2,Emergency Preventive
MAINT00000095,TRK00119,2022-02-03,Repair,612801,2.1,255.88,2878.52,3134.4,Minneapolis,3.1,Scheduled Repair
MAINT00000096,TRK00041,2022-02-03,Repair,404864,4.6,516.06,1493.71,2009.77,Atlanta,26.8,Routine Repair
MAINT00000097,TRK00081,2022-02-03,Brake,592415,6.4,639.44,3093.23,3732.67,Nashville,24.4,Scheduled Brake
MAINT00000098,TRK00098,2022-02-04,Preventive,71264,0.6,70.04,2640.66,2710.7,Phoenix,38.4,Scheduled Preventive
MAINT00000099,TRK00032,2022-02-04,Engine,176295,4.8,443.87,98.5,542.37,Seattle,4.0,Routine Engine
MAINT00000100,TRK00029,2022-02-05,Repair,689101,4.7,513.81,609.27,1123.08,Detroit,8.2,Routine Repair
MAINT00000101,TRK00109,2022-02-05,Preventive,289082,6.1,539.81,914.45,1454.26,Los Angeles,35.5,Routine Preventive
MAINT00000102,TRK00086,2022-02-05,Inspection,716219,7.8,721.86,84.38,806.24,Indianapolis,7.3,Routine Inspection
MAINT00000103,TRK00066,2022-02-05,Repair,491808,3.8,470.76,970.12,1440.88,Seattle,20.7,Emergency Repair
MAINT00000104,TRK00012,2022-02-06,Inspection,284049,3.8,371.49,34.19,405.68,Atlanta,6.9,Scheduled Inspection
MAINT00000105,TRK00081,2022-02-07,Engine,381108,3.7,374.83,1483.38,1858.21,Oklahoma City,35.4,Emergency Engine
MAINT00000106,TRK00099,2022-02-07,Brake,674761,3.9,453.36,2138.85,2592.21,Houston,3.3,Emergency Brake
MAINT00000107,TRK00028,2022-02-08,Tire,339119,2.7,312.6,2501.06,2813.66,Philadelphia,20.6,Scheduled Tire
MAINT00000108,TRK00096,2022-02-08,Engine,551149,7.7,684.72,1854.93,2539.65,Columbus,37.1,Emergency Engine
MAINT00000109,TRK00022,2022-02-09,Transmission,688664,4.0,415.13,1553.4,1968.53,Portland,13.3,Routine Transmission
MAINT00000110,TRK00081,2022-02-09,Preventive,577731,2.3,245.54,1685.39,1930.93,Charlotte,38.7,Routine Preventive
MAINT00000111,TRK00056,2022-02-09,Tire,181455,0.6,51.93,1293.62,1345.55,Houston,39.1,Emergency Tire
MAINT00000112,TRK00059,2022-02-09,Brake,100684,3.0,327.69,171.19,498.88,Nashville,38.0,Emergency Brake
MAINT00000113,TRK00109,2022-02-09,Preventive,624372,7.7,739.89,2826.17,3566.06,Minneapolis,39.5,Scheduled Preventive
MAINT00000114,TRK00050,2022-02-09,Brake,268397,4.6,489.49,1737.66,2227.15,Chicago,40.9,Scheduled Brake
MAINT00000115,TRK00041,2022-02-10,Inspection,629206,6.9,659.6,76.24,735.84,Miami,42.3,Routine Inspection
MAINT00000116,TRK00045,2022-02-10,Preventive,632936,1.8,177.85,2399.17,2577.02,New York,17.2,Routine Preventive
MAINT00000117,TRK00035,2022-02-11,Transmission,78058,6.3,561.71,1711.51,2273.22,Denver,30.7,Scheduled Transmission
MAINT00000118,TRK00086,2022-02-11,Engine,154004,4.2,412.79,335.36,748.15,Atlanta,11.5,Emergency Engine
MAINT00000119,TRK00006,2022-02-12,Tire,567636,7.9,719.89,3334.38,4054.27,Los Angeles,36.9,Scheduled Tire
MAINT00000120,TRK00049,2022-02-13,Preventive,211205,7.2,769.9,2828.92,3598.82,Nashville,21.1,Emergency Preventive
MAINT00000121,TRK00113,2022-02-13,Tire,170468,4.9,610.06,1460.49,2070.55,Columbus,5.4,Scheduled Tire
MAINT00000122,TRK00119,2022-02-14,Transmission,462908,6.5,733.91,1590.45,2324.36,Indianapolis,13.5,Scheduled Transmission
MAINT00000123,TRK00031,2022-02-14,Inspection,143459,3.0,314.42,15.76,330.18,Denver,21.4,Routine Inspection
MAINT00000124,TRK00079,2022-02-14,Repair,502495,3.9,483.54,2303.54,2787.08,Phoenix,32.0,Emergency Repair
MAINT00000125,TRK00005,2022-02-14,Repair,351354,6.0,638.01,3357.44,3995.45,Minneapolis,16.9,Routine Repair
MAINT00000126,TRK00104,2022-02-15,Repair,489564,4.0,358.44,3254.12,3612.56,Seattle,26.2,Routine Repair
MAINT00000127,TRK00016,2022-02-15,Brake,261631,1.2,104.59,3407.95,3512.54,Miami,22.0,Routine Brake
MAINT00000128,TRK00016,2022-02-17,Transmission,552302,0.6,51.61,3105.1,3156.71,Indianapolis,14.0,Emergency Transmission
MAINT00000129,TRK00103,2022-02-17,Brake,130815,3.6,311.42,715.23,1026.65,Nashville,25.5,Emergency Brake
MAINT00000130,TRK00011,2022-02-17,Repair,409819,2.9,347.31,1156.26,1503.57,Portland,22.3,Scheduled Repair
MAINT00000131,TRK00092,2022-02-17,Inspection,119253,5.7,535.8,13.05,548.85,Milwaukee,6.4,Routine Inspection
MAINT00000132,TRK00024,2022-02-17,Preventive,500954,1.0,98.16,2815.96,2914.12,Charlotte,20.3,Emergency Preventive
MAINT00000133,TRK00067,2022-02-18,Transmission,592185,7.2,740.42,994.07,1734.49,Phoenix,6.2,Routine Transmission
MAINT00000134,TRK00011,2022-02-18,Preventive,331943,3.7,440.06,308.57,748.63,Indianapolis,33.5,Emergency Preventive
MAINT00000135,TRK00078,2022-02-18,Inspection,146493,5.3,475.39,93.48,568.87,Phoenix,7.8,Emergency Inspection
MAINT00000136,TRK00018,2022-02-18,Brake,233517,1.0,98.43,116.89,215.32,Columbus,24.4,Routine Brake
MAINT00000137,TRK00035,2022-02-18,Preventive,440281,1.0,122.73,387.25,509.98,Los Angeles,23.3,Routine Preventive
MAINT00000138,TRK00066,2022-02-18,Transmission,542322,2.6,251.72,2579.26,2830.98,Milwaukee,31.2,Emergency Transmission
MAINT00000139,TRK00068,2022-02-18,Tire,628516,2.5,215.13,1381.9,1597.03,Philadelphia,44.4,Emergency Tire
MAINT00000140,TRK00107,2022-02-19,Tire,540716,3.0,296.29,1403.47,1699.76,Houston,30.9,Routine Tire
MAINT00000141,TRK00038,2022-02-19,Inspection,206551,5.5,545.52,56.58,602.1,Phoenix,36.1,Scheduled Inspection
MAINT00000142,TRK00078,2022-02-19,Transmission,612070,6.4,706.84,921.16,1628.0,Memphis,31.2,Emergency Transmission
MAINT00000143,TRK00105,2022-02-19,Preventive,463193,1.8,204.74,984.72,1189.46,Memphis,11.8,Scheduled Preventive
MAINT00000144,TRK00002,2022-02-19,Engine,125357,4.1,436.05,1177.2,1613.25,Miami,10.3,Emergency Engine
MAINT00000145,TRK00112,2022-02-22,Brake,124656,5.5,604.11,3207.29,3811.4,Chicago,22.8,Scheduled Brake
MAINT00000146,TRK00094,2022-02-22,Tire,594906,4.6,434.55,1691.5,2126.05,Dallas,29.7,Emergency Tire
MAINT00000147,TRK00024,2022-02-23,Engine,414650,7.5,850.35,1659.65,2510.0,Milwaukee,26.4,Scheduled Engine
MAINT00000148,TRK00037,2022-02-24,Transmission,68377,1.3,148.57,1379.82,1528.39,Philadelphia,7.3,Scheduled Transmission
MAINT00000149,TRK00019,2022-02-25,Repair,536474,3.4,341.14,1960.2,2301.34,Las Vegas,46.3,Scheduled Repair
MAINT00000150,TRK00071,2022-02-26,Repair,534063,2.4,280.26,3105.12,3385.38,Philadelphia,28.5,Routine Repair
MAINT00000151,TRK00018,2022-02-26,Preventive,206620,2.5,229.87,2486.46,2716.33,Omaha,20.1,Emergency Preventive
MAINT00000152,TRK00087,2022-02-26,Engine,611302,5.3,462.28,1861.18,2323.46,Portland,28.9,Routine Engine
MAINT00000153,TRK00044,2022-02-26,Repair,229722,5.0,434.84,273.5,708.34,Minneapolis,36.5,Emergency Repair
MAINT00000154,TRK00015,2022-02-27,Inspection,654292,4.8,531.18,78.76,609.94,Los Angeles,3.3,Scheduled Inspection
MAINT00000155,TRK00111,2022-02-27,Inspection,493125,4.8,525.06,104.99,630.05,Indianapolis,16.0,Scheduled Inspection
MAINT00000156,TRK00104,2022-02-27,Tire,426562,6.2,619.72,1675.46,2295.18,Indianapolis,34.4,Scheduled Tire
MAINT00000157,TRK00099,2022-02-28,Inspection,653162,1.3,159.9,47.99,207.89,Omaha,2.5,Routine Inspection
MAINT00000158,TRK00076,2022-03-01,Tire,421835,2.5,220.18,989.59,1209.77,Indianapolis,6.5,Emergency Tire
MAINT00000159,TRK00027,2022-03-01,Preventive,299803,0.6,71.43,1220.52,1291.95,Charlotte,10.9,Routine Preventive
MAINT00000160,TRK00092,2022-03-01,Repair,611879,0.7,68.09,3306.31,3374.4,Miami,32.5,Emergency Repair
MAINT00000161,TRK00002,2022-03-01,Repair,667173,7.6,704.41,1519.54,2223.95,Omaha,46.7,Emergency Repair
MAINT00000162,TRK00064,2022-03-01,Transmission,262471,2.2,248.33,1502.54,1750.87,Atlanta,16.8,Scheduled Transmission
MAINT00000163,TRK00111,2022-03-01,Tire,256588,2.8,316.75,2859.27,3176.02,Phoenix,9.2,Scheduled Tire
MAINT00000164,TRK00067,2022-03-02,Repair,329799,4.5,427.73,629.11,1056.84,Memphis,46.2,Scheduled Repair
MAINT00000165,TRK00039,2022-03-04,Inspection,439811,1.9,185.39,49.64,235.03,Seattle,16.2,Routine Inspection
MAINT00000166,TRK00012,2022-03-04,Repair,743793,2.3,235.39,3345.86,3581.25,Columbus,18.4,Routine Repair
MAINT00000167,TRK00006,2022-03-05,Transmission,133743,5.5,648.56,907.39,1555.95,Omaha,6.6,Routine Transmission
MAINT00000168,TRK00105,2022-03-05,Repair,255628,6.3,650.68,206.9,857.58,Omaha,3.8,Scheduled Repair
MAINT00000169,TRK00087,2022-03-05,Brake,323691,3.7,397.78,1114.08,1511.86,Seattle,6.9,Emergency Brake
MAINT00000170,TRK00100,2022-03-05,Inspection,132868,0.5,51.03,94.06,145.09,Detroit,32.2,Scheduled Inspection
MAINT00000171,TRK00067,2022-03-05,Brake,89052,7.6,925.0,759.79,1684.79,Miami,13.7,Scheduled Brake
MAINT00000172,TRK00096,2022-03-06,Tire,233055,7.6,765.48,521.82,1287.3,Houston,31.6,Scheduled Tire
MAINT00000173,TRK00110,2022-03-06,Tire,749559,1.4,164.91,953.73,1118.64,Philadelphia,8.8,Emergency Tire
MAINT00000174,TRK00048,2022-03-07,Tire,470225,7.7,917.77,2548.35,3466.12,Portland,12.7,Routine Tire
MAINT00000175,TRK00043,2022-03-07,Transmission,471262,3.0,353.81,390.46,744.27,Phoenix,16.9,Emergency Transmission
MAINT00000176,TRK00057,2022-03-07,Preventive,376369,6.4,712.94,88.77,801.71,Kansas City,9.2,Routine Preventive
MAINT00000177,TRK00033,2022-03-08,Preventive,409247,4.3,482.76,2152.41,2635.17,Memphis,28.9,Scheduled Preventive
MAINT00000178,TRK00116,2022-03-09,Tire,581242,7.1,855.41,3203.2,4058.61,Los Angeles,15.3,Routine Tire
MAINT00000179,TRK00073,2022-03-09,Preventive,381399,0.9,109.58,2904.64,3014.22,Detroit,19.7,Routine Preventive
MAINT00000180,TRK00084,2022-03-10,Inspection,328355,1.8,154.05,70.82,224.87,Oklahoma City,40.9,Routine Inspection
MAINT00000181,TRK00021,2022-03-10,Engine,662680,6.8,583.42,3168.59,3752.01,Detroit,9.8,Scheduled Engine
MAINT00000182,TRK00118,2022-03-10,Tire,428623,6.5,702.06,325.37,1027.43,Phoenix,18.8,Scheduled Tire
MAINT00000183,TRK00016,2022-03-10,Preventive,657114,6.2,656.5,1501.36,2157.86,Houston,12.5,Scheduled Preventive
MAINT00000184,TRK00060,2022-03-11,Preventive,578004,6.4,605.11,2116.98,2722.09,Salt Lake City,43.2,Emergency Preventive
MAINT00000185,TRK00067,2022-03-11,Inspection,218452,2.9,314.67,87.1,401.77,Miami,28.0,Scheduled Inspection
MAINT00000186,TRK00104,2022-03-11,Inspection,471446,7.2,712.01,7.54,719.55,Detroit,46.0,Scheduled Inspection
MAINT00000187,TRK00096,2022-03-12,Tire,106841,4.8,573.25,752.86,1326.11,Phoenix,34.6,Emergency Tire
MAINT00000188,TRK00058,2022-03-13,Repair,489503,6.7,678.46,2409.05,3087.51,Chicago,24.9,Scheduled Repair
MAINT00000189,TRK00097,2022-03-13,Transmission,405690,2.6,313.07,1220.73,1533.8,Seattle,2.2,Routine Transmission
MAINT00000190,TRK00045,2022-03-13,Engine,258266,5.4,662.62,526.38,1189.0,Milwaukee,3.4,Routine Engine
MAINT00000191,TRK00082,2022-03-13,Transmission,556935,1.0,87.67,1860.18,1947.85,Columbus,17.4,Routine Transmission
MAINT00000192,TRK00005,2022-03-13,Brake,451166,7.7,838.25,2149.13,2987.38,Las Vegas,12.0,Emergency Brake
MAINT00000193,TRK00035,2022-03-14,Repair,582269,2.1,240.42,2426.71,2667.13,Nashville,11.1,Routine Repair
MAINT00000194,TRK00034,2022-03-14,Tire,553583,1.5,132.8,471.14,603.94,Nashville,2.8,Emergency Tire
MAINT00000195,TRK00013,2022-03-14,Repair,361130,4.4,509.7,67.38,577.08,Atlanta,34.7,Emergency Repair
MAINT00000196,TRK00054,2022-03-14,Repair,535323,2.9,335.7,3448.6,3784.3,Philadelphia,10.4,Scheduled Repair
MAINT00000197,TRK00033,2022-03-15,Preventive,722134,5.1,507.25,1717.74,2224.99,Los Angeles,39.7,Scheduled Preventive
MAINT00000198,TRK00054,2022-03-16,Tire,609533,6.0,725.85,2351.94,3077.79,Nashville,14.1,Emergency Tire
MAINT00000199,TRK00075,2022-03-16,Brake,615473,5.2,469.19,3288.65,3757.84,New York,23.5,Scheduled Brake
MAINT00000200,TRK00072,2022-03-17,Inspection,301879,3.1,382.54,128.86,511.4,Atlanta,31.3,Scheduled Inspection
MAINT00000201,TRK00021,2022-03-18,Tire,238872,5.2,598.91,3128.5,3727.41,Oklahoma City,38.0,Emergency Tire
MAINT00000202,TRK00023,2022-03-18,Repair,378679,0.6,65.14,2619.37,2684.51,Charlotte,16.8,Routine Repair
MAINT00000203,TRK00062,2022-03-19,Brake,441974,1.0,119.64,1977.05,2096.69,Columbus,45.2,Scheduled Brake
MAINT00000204,TRK00023,2022-03-19,Tire,232982,2.3,277.75,2799.81,3077.56,Seattle,9.7,Emergency Tire
MAINT00000205,TRK00046,2022-03-20,Brake,417688,0.9,104.98,1113.62,1218.6,Salt Lake City,38.5,Scheduled Brake
MAINT00000206,TRK00010,2022-03-20,Tire,704802,2.2,229.53,2554.98,2784.51,Salt Lake City,10.0,Routine Tire
MAINT00000207,TRK00029,2022-03-21,Inspection,167717,5.3,459.91,46.01,505.92,Memphis,13.6,Routine Inspection
MAINT00000208,TRK00031,2022-03-21,Engine,720482,5.1,574.92,1016.2,1591.12,Seattle,38.5,Emergency Engine
MAINT00000209,TRK00118,2022-03-21,Repair,79137,1.1,118.05,2322.69,2440.74,Memphis,21.7,Emergency Repair
MAINT00000210,TRK00034,2022-03-21,Repair,496552,6.5,598.97,884.33,1483.3,Indianapolis,7.5,Routine Repair
MAINT00000211,TRK00091,2022-03-22,Tire,505546,2.4,286.12,1825.38,2111.5,Columbus,22.2,Emergency Tire
MAINT00000212,TRK00120,2022-03-22,Repair,114630,4.1,407.09,2820.92,3228.01,Detroit,43.0,Routine Repair
MAINT00000213,TRK00090,2022-03-23,Repair,242942,3.5,426.22,161.3,587.52,Indianapolis,6.6,Routine Repair
MAINT00000214,TRK00095,2022-03-23,Engine,298168,3.1,366.29,2551.91,2918.2,Indianapolis,26.7,Scheduled Engine
MAINT00000215,TRK00033,2022-03-23,Tire,533964,4.8,598.39,1515.34,2113.73,Milwaukee,35.9,Emergency Tire
MAINT00000216,TRK00024,2022-03-24,Transmission,115261,4.2,517.22,2137.52,2654.74,Philadelphia,28.8,Routine Transmission
