truck_id,month,trips_completed,total_miles,total_revenue,average_mpg,maintenance_events,maintenance_cost,downtime_hours,utilization_rate
TRK00001,2024-04-01,27,28199,60914.8,6.79,0,0.0,0.0,0.9
TRK00001,2024-05-01,31,47893,107913.09,6.64,0,0.0,0.0,1.0
TRK00001,2024-06-01,21,26084,59538.47,6.62,0,0.0,0.0,0.7
TRK00001,2024-07-01,27,29263,56683.34,6.53,0,0.0,0.0,0.871
TRK00001,2024-08-01,26,35006,74743.74,6.49,1,434.75,31.5,0.839
TRK00001,2024-09-01,25,35545,82185.36,6.69,1,4072.16,13.4,0.833
TRK00001,2024-10-01,37,51146,106657.86,6.6,1,2643.09,36.6,1.194
TRK00001,2024-11-01,20,33025,69796.7,6.59,0,0.0,0.0,0.667
TRK00001,2024-12-01,24,33462,68156.63,6.51,1,3350.4,12.0,0.774
TRK00002,2022-01-01,42,61156,130767.57,6.65,0,0.0,0.0,1.355
TRK00002,2022-02-01,23,30647,69273.33,6.42,1,1613.25,10.3,0.821
TRK00002,2022-03-01,22,33594,75977.97,6.44,1,2223.95,46.7,0.71
TRK00002,2022-04-01,26,33536,66089.72,6.48,1,3728.02,8.0,0.867
TRK00002,2022-05-01,21,32650,71220.61,6.41,3,7622.07,89.5,0.677
TRK00002,2022-06-01,19,28286,63345.54,6.57,0,0.0,0.0,0.633
TRK00002,2022-07-01,20,30834,59881.91,6.34,1,2000.87,13.7,0.645
TRK00002,2022-08-01,36,41510,84492.83,6.57,0,0.0,0.0,1.161
TRK00002,2022-09-01,22,28038,65368.34,6.54,0,0.0,0.0,0.733
TRK00002,2022-10-01,27,39770,83855.05,6.6,0,0.0,0.0,0.871
TRK00002,2022-11-01,24,36504,75385.02,6.47,0,0.0,0.0,0.8
TRK00002,2022-12-01,22,30830,69982.18,6.57,0,0.0,0.0,0.71
TRK00002,2023-01-01,34,56129,118397.72,6.46,0,0.0,0.0,1.097
TRK00002,2023-02-01,25,35364,71911.69,6.53,0,0.0,0.0,0.893
TRK00002,2023-03-01,21,26654,56009.13,6.63,2,731.97,52.0,0.677
TRK00002,2023-04-01,32,52262,116550.1,6.46,1,980.82,33.4,1.067
TRK00002,2023-05-01,17,20344,43464.45,6.31,1,2827.87,14.2,0.548
TRK00002,2023-06-01,22,30900,62063.12,6.45,0,0.0,0.0,0.733
TRK00002,2023-07-01,26,36539,72646.32,6.61,2,3702.81,68.3,0.839
TRK00002,2023-08-01,24,30655,68059.97,6.31,2,6757.19,84.3,0.774
TRK00002,2023-09-01,24,35441,76262.33,6.49,2,3151.84,68.6,0.8
TRK00002,2023-10-01,24,28484,59974.85,6.34,1,1700.03,27.7,0.774
TRK00002,2023-11-01,26,39962,89083.48,6.59,0,0.0,0.0,0.867
TRK00002,2023-12-01,17,19618,44586.15,6.46,1,1781.39,15.5,0.548
TRK00002,2024-01-01,24,38067,78469.8,6.37,0,0.0,0.0,0.774
TRK00002,2024-02-01,23,35659,73738.14,6.37,0,0.0,0.0,0.793
TRK00002,2024-03-01,24,34957,77231.58,6.48,0,0.0,0.0,0.774
TRK00002,2024-04-01,28,35800,73440.4,6.68,1,2513.94,15.4,0.933
TRK00002,2024-05-01,23,36048,75950.57,6.49,0,0.0,0.0,0.742
TRK00002,2024-06-01,24,33994,73204.73,6.59,2,5552.68,46.3,0.8
TRK00002,2024-07-01,26,31219,68058.08,6.66,1,1873.34,3.5,0.839
TRK00002,2024-08-01,27,37770,78359.28,6.43,1,1203.86,26.1,0.871
TRK00002,2024-09-01,21,33552,68864.64,6.49,1,857.26,31.3,0.7
TRK00002,2024-10-01,27,43121,92349.64,6.62,1,651.78,5.3,0.871
TRK00002,2024-11-01,26,40747,89458.61,6.3,0,0.0,0.0,0.867
TRK00002,2024-12-01,18,29931,68587.01,6.55,1,3394.1,5.2,0.581
TRK00004,2022-01-01,28,37927,83370.5,6.48,1,3343.56,26.7,0.903
TRK00004,2022-02-01,22,33460,68948.67,6.47,0,0.0,0.0,0.786
TRK00004,2022-03-01,25,36185,73593.26,6.52,0,0.0,0.0,0.806
TRK00004,2022-04-01,26,41107,85010.17,6.53,2,1334.9,37.1,0.867
TRK00004,2022-05-01,33,49633,112198.71,6.56,0,0.0,0.0,1.065
TRK00004,2022-06-01,27,41404,89945.6,6.69,0,0.0,0.0,0.9
TRK00004,2022-07-01,17,26110,55064.82,6.51,1,572.32,21.9,0.548
TRK00004,2022-08-01,31,32082,69905.4,6.49,2,6535.65,25.5,1.0
TRK00004,2022-09-01,30,47748,101681.36,6.35,1,2480.51,27.5,1.0
TRK00004,2022-10-01,28,40297,90604.82,6.63,0,0.0,0.0,0.903
TRK00004,2022-11-01,25,40466,92500.96,6.48,2,3289.81,39.6,0.833
TRK00004,2022-12-01,33,46900,96975.93,6.5,1,1650.3,43.1,1.065
TRK00004,2023-01-01,28,34858,73531.53,6.36,0,0.0,0.0,0.903
TRK00004,2023-02-01,21,31283,74902.06,6.45,0,0.0,0.0,0.75
TRK00004,2023-03-01,26,39411,81925.77,6.63,1,428.91,46.1,0.839
TRK00004,2023-04-01,25,25716,53697.34,6.62,1,2456.24,24.0,0.833
TRK00004,2023-05-01,32,57422,119488.44,6.6,0,0.0,0.0,1.032
TRK00004,2023-06-01,21,27965,60210.6,6.66,1,2416.12,3.4,0.7
TRK00004,2023-07-01,18,31344,66184.76,6.45,0,0.0,0.0,0.581
TRK00004,2023-08-01,24,37373,79622.51,6.42,0,0.0,0.0,0.774
TRK00004,2023-09-01,29,40920,83425.25,6.4,0,0.0,0.0,0.967
TRK00004,2023-10-01,21,31620,62674.82,6.37,2,4222.98,47.5,0.677
TRK00004,2023-11-01,25,41778,90194.95,6.64,0,0.0,0.0,0.833
TRK00004,2023-12-01,33,35696,74330.29,6.47,0,0.0,0.0,1.065
TRK00004,2024-01-01,27,38413,86241.35,6.42,1,1665.55,7.4,0.871
TRK00004,2024-02-01,25,35218,78506.22,6.35,0,0.0,0.0,0.862
TRK00004,2024-03-01,28,33520,66860.27,6.51,0,0.0,0.0,0.903
TRK00004,2024-04-01,25,33327,70535.88,6.47,1,716.3,38.7,0.833
TRK00004,2024-05-01,25,28116,65294.04,6.35,0,0.0,0.0,0.806
TRK00004,2024-06-01,25,33367,71651.92,6.6,1,3278.64,37.5,0.833
TRK00004,2024-07-01,25,26675,56318.75,6.37,2,842.36,15.5,0.806
TRK00004,2024-08-01,37,50168,105034.44,6.56,1,2791.17,19.2,1.194
TRK00004,2024-09-01,23,35262,78224.24,6.56,0,0.0,0.0,0.767
TRK00004,2024-10-01,19,30988,63573.36,6.5,1,536.5,22.5,0.613
TRK00004,2024-11-01,22,31761,72145.31,6.41,0,0.0,0.0,0.733
TRK00004,2024-12-01,20,24027,49227.83,6.57,0,0.0,0.0,0.645
TRK00006,2022-01-01,26,32968,69722.75,6.5,4,6221.44,80.6,0.839
TRK00006,2022-02-01,21,25620,53766.43,6.37,1,4054.27,36.9,0.75
TRK00006,2022-03-01,15,20953,44381.54,6.44,1,1555.95,6.6,0.484
TRK00006,2022-04-01,16,23317,53382.61,6.8,0,0.0,0.0,0.533
TRK00006,2022-05-01,33,49198,108100.61,6.51,0,0.0,0.0,1.065
TRK00006,2022-06-01,23,35677,82074.57,6.53,1,2078.65,13.3,0.767
TRK00006,2022-07-01,20,26408,56440.41,6.39,1,1402.01,35.5,0.645
TRK00006,2022-08-01,28,35358,76355.54,6.49,0,0.0,0.0,0.903
TRK00006,2022-09-01,27,34740,72173.7,6.45,1,1757.36,15.4,0.9
TRK00006,2022-10-01,17,28172,66103.77,6.58,1,483.94,31.9,0.548
TRK00006,2022-11-01,31,38048,84779.36,6.36,0,0.0,0.0,1.033
TRK00006,2022-12-01,22,34618,80719.68,6.48,3,6105.66,78.4,0.71
TRK00006,2023-01-01,23,38492,80052.28,6.42,0,0.0,0.0,0.742
TRK00006,2023-02-01,27,45731,101620.27,6.48,2,2811.62,27.8,0.964
TRK00006,2023-03-01,22,40334,76866.06,6.49,0,0.0,0.0,0.71
TRK00006,2023-04-01,30,43599,92722.74,6.42,1,1872.47,12.1,1.0
TRK00006,2023-05-01,20,32047,71277.54,6.67,0,0.0,0.0,0.645
TRK00006,2023-06-01,22,34836,71505.88,6.54,1,1264.1,18.2,0.733
TRK00006,2023-07-01,23,30071,65676.25,6.48,1,3364.26,41.5,0.742
TRK00006,2023-08-01,21,29882,64928.6,6.51,1,937.85,6.5,0.677
TRK00006,2023-09-01,27,42816,96708.23,6.27,1,3295.74,8.6,0.9
TRK00006,2023-10-01,24,36531,72574.13,6.47,1,3946.26,37.3,0.774
TRK00006,2023-11-01,30,39026,86738.25,6.51,0,0.0,0.0,1.0
TRK00006,2023-12-01,33,44366,91451.34,6.44,0,0.0,0.0,1.065
TRK00006,2024-01-01,20,31382,69885.62,6.59,0,0.0,0.0,0.645
TRK00006,2024-02-01,23,34302,77425.85,6.52,0,0.0,0.0,0.793
TRK00006,2024-03-01,32,44664,104520.82,6.42,0,0.0,0.0,1.032
TRK00006,2024-04-01,25,27149,57040.26,6.63,0,0.0,0.0,0.833
TRK00006,2024-05-01,27,39251,84605.04,6.41,1,1457.33,4.8,0.871
TRK00006,2024-06-01,25,44357,92983.27,6.3,0,0.0,0.0,0.833
TRK00006,2024-07-01,21,32438,66606.42,6.54,0,0.0,0.0,0.677
TRK00006,2024-08-01,23,37379,80775.96,6.61,1,578.57,45.0,0.742
TRK00006,2024-09-01,29,50000,113772.05,6.57,0,0.0,0.0,0.967
TRK00006,2024-10-01,30,38755,89536.9,6.41,3,7593.35,87.3,0.968
TRK00006,2024-11-01,18,21162,43025.32,6.49,0,0.0,0.0,0.6
TRK00006,2024-12-01,24,34904,78246.5,6.39,0,0.0,0.0,0.774
TRK00007,2022-01-01,24,31441,72815.99,6.37,0,0.0,0.0,0.774
TRK00007,2022-02-01,24,32029,67176.42,6.59,0,0.0,0.0,0.857
TRK00007,2022-03-01,30,44195,100749.6,6.55,0,0.0,0.0,0.968
TRK00007,2022-04-01,24,32654,80247.14,6.4,0,0.0,0.0,0.8
TRK00007,2022-05-01,23,26257,59988.68,6.49,0,0.0,0.0,0.742
TRK00007,2022-06-01,28,34816,76339.3,6.57,0,0.0,0.0,0.933
TRK00007,2022-07-01,33,42964,90528.79,6.57,1,865.08,17.6,1.065
TRK00007,2022-08-01,24,37571,85586.75,6.57,0,0.0,0.0,0.774
TRK00007,2022-09-01,19,24920,47404.44,6.46,1,1664.4,7.7,0.633
TRK00007,2022-10-01,32,51329,111614.78,6.46,0,0.0,0.0,1.032
TRK00007,2022-11-01,27,35960,70877.15,6.38,0,0.0,0.0,0.9
TRK00007,2022-12-01,27,39157,85623.25,6.38,1,4284.14,45.8,0.871
TRK00007,2023-01-01,31,44541,93264.96,6.54,0,0.0,0.0,1.0
TRK00007,2023-02-01,30,44673,96624.76,6.29,1,1739.69,8.8,1.071
TRK00007,2023-03-01,25,39316,86998.11,6.59,0,0.0,0.0,0.806
TRK00007,2023-04-01,24,35219,68362.44,6.25,1,473.43,14.1,0.8
TRK00007,2023-05-01,25,32763,69506.33,6.68,1,654.5,13.5,0.806
TRK00007,2023-06-01,24,38901,80901.03,6.47,1,1217.74,22.3,0.8
TRK00007,2023-07-01,18,24228,52781.78,6.38,0,0.0,0.0,0.581
TRK00007,2023-08-01,21,23573,49212.34,6.6,2,1966.49,20.3,0.677
TRK00007,2023-09-01,32,45673,96105.15,6.7,0,0.0,0.0,1.067
TRK00007,2023-10-01,29,47774,105125.75,6.38,1,1207.5,17.3,0.935
TRK00007,2023-11-01,34,48869,102079.99,6.33,1,3245.98,41.9,1.133
TRK00007,2023-12-01,28,46839,108377.14,6.52,1,1247.42,9.2,0.903
TRK00007,2024-01-01,31,45151,107665.56,6.65,1,617.21,7.0,1.0
TRK00007,2024-02-01,19,28773,58749.21,6.42,0,0.0,0.0,0.655
TRK00007,2024-03-01,27,37631,82424.54,6.58,1,1736.08,41.3,0.871
TRK00007,2024-04-01,18,28653,63881.21,6.31,1,662.53,20.4,0.6
TRK00007,2024-05-01,28,43974,96997.47,6.5,1,719.66,13.2,0.903
TRK00007,2024-06-01,18,31709,62598.43,6.43,1,611.22,21.8,0.6
TRK00007,2024-07-01,21,29032,63842.15,6.47,0,0.0,0.0,0.677
TRK00007,2024-08-01,26,43140,88994.97,6.51,2,1727.9,51.5,0.839
TRK00007,2024-09-01,26,35666,72500.33,6.41,0,0.0,0.0,0.867
TRK00007,2024-10-01,24,36665,82396.02,6.51,0,0.0,0.0,0.774
TRK00007,2024-11-01,30,46517,95552.72,6.54,1,1228.0,42.0,1.0
TRK00007,2024-12-01,18,24163,53853.49,6.64,0,0.0,0.0,0.581
TRK00008,2022-01-01,33,47016,99447.9,6.55,1,2666.62,28.9,1.065
TRK00008,2022-02-01,23,29817,69273.48,6.5,0,0.0,0.0,0.821
TRK00008,2022-03-01,19,24770,52802.05,6.37,0,0.0,0.0,0.613
TRK00008,2022-04-01,21,35478,75170.64,6.69,0,0.0,0.0,0.7
TRK00008,2022-05-01,23,35227,76789.0,6.4,0,0.0,0.0,0.742
TRK00008,2022-06-01,20,31748,66644.55,6.59,0,0.0,0.0,0.667
TRK00008,2022-07-01,26,32607,70606.55,6.32,2,3309.35,35.5,0.839
TRK00008,2022-08-01,23,39402,74585.84,6.54,0,0.0,0.0,0.742
TRK00008,2022-09-01,22,27785,58347.37,6.44,1,1117.13,24.5,0.733
TRK00008,2022-10-01,25,32656,70477.04,6.45,1,2990.13,32.8,0.806
TRK00008,2022-11-01,25,39718,83145.86,6.42,0,0.0,0.0,0.833
TRK00008,2022-12-01,28,41397,90616.23,6.49,1,2855.47,5.1,0.903
TRK00008,2023-01-01,26,50049,107246.98,6.48,1,2021.39,22.3,0.839
TRK00008,2023-02-01,16,29056,67901.66,6.63,0,0.0,0.0,0.571
TRK00008,2023-03-01,23,35417,80533.68,6.68,0,0.0,0.0,0.742
TRK00008,2023-04-01,24,31654,70642.04,6.4,0,0.0,0.0,0.8
TRK00008,2023-05-01,27,37121,82377.85,6.46,1,588.15,16.5,0.871
TRK00008,2023-06-01,27,44623,102440.55,6.46,1,236.59,40.1,0.9
TRK00008,2023-07-01,38,51102,104974.38,6.39,0,0.0,0.0,1.226
TRK00008,2023-08-01,18,28765,61436.44,6.62,0,0.0,0.0,0.581
TRK00008,2023-09-01,27,41321,88348.75,6.42,1,2171.9,5.9,0.9
TRK00008,2023-10-01,20,25114,50814.91,6.82,1,285.46,15.2,0.645
TRK00008,2023-11-01,22,29602,65322.04,6.76,0,0.0,0.0,0.733
TRK00008,2023-12-01,32,47310,102444.34,6.5,1,1869.38,19.9,1.032
TRK00008,2024-01-01,19,28692,61154.9,6.29,1,2746.93,28.0,0.613
TRK00008,2024-02-01,28,41234,90584.03,6.49,0,0.0,0.0,0.966
TRK00008,2024-03-01,23,38593,80547.55,6.6,1,1236.73,45.3,0.742
TRK00008,2024-04-01,37,55780,123352.33,6.53,0,0.0,0.0,1.233
TRK00008,2024-05-01,18,25374,60337.94,6.63,1,1130.43,42.4,0.581
TRK00008,2024-06-01,25,38539,78848.2,6.3,0,0.0,0.0,0.833
TRK00008,2024-07-01,22,27748,57125.62,6.68,0,0.0,0.0,0.71
TRK00008,2024-08-01,31,39308,76993.5,6.44,1,2023.23,36.1,1.0
TRK00008,2024-09-01,25,28417,59820.72,6.64,2,4430.8,53.2,0.833
TRK00008,2024-10-01,29,40190,83653.84,6.4,1,1345.05,31.3,0.935
TRK00008,2024-11-01,32,37663,81346.69,6.63,0,0.0,0.0,1.067
TRK00008,2024-12-01,17,26117,54433.57,6.36,0,0.0,0.0,0.548
TRK00009,2022-01-01,29,46935,104341.01,6.44,0,0.0,0.0,0.935
TRK00009,2022-02-01,18,23426,45953.42,6.54,0,0.0,0.0,0.643
TRK00009,2022-03-01,29,38569,80956.04,6.69,0,0.0,0.0,0.935
TRK00009,2022-04-01,24,28835,59187.06,6.64,1,2410.51,13.1,0.8
TRK00009,2022-05-01,19,21942,52122.29,6.26,1,390.52,32.9,0.613
TRK00009,2022-06-01,30,41563,83155.09,6.61,1,2102.84,42.6,1.0
TRK00009,2022-07-01,26,35581,70934.75,6.56,0,0.0,0.0,0.839
TRK00009,2022-08-01,25,33859,74148.11,6.44,0,0.0,0.0,0.806
TRK00009,2022-09-01,25,38336,84215.92,6.36,1,782.55,44.7,0.833
TRK00009,2022-10-01,34,44397,98216.78,6.54,0,0.0,0.0,1.097
TRK00009,2022-11-01,29,47194,103861.25,6.37,1,1239.4,42.5,0.967
TRK00009,2022-12-01,19,33735,74032.61,6.58,0,0.0,0.0,0.613
TRK00009,2023-01-01,24,36946,81929.75,6.44,0,0.0,0.0,0.774
TRK00009,2023-02-01,20,24965,51396.63,6.59,1,552.28,6.9,0.714
TRK00009,2023-03-01,21,34003,75172.57,6.56,0,0.0,0.0,0.677
TRK00009,2023-04-01,29,40715,81278.22,6.49,1,3508.87,4.0,0.967
TRK00009,2023-05-01,18,23980,54154.59,6.4,0,0.0,0.0,0.581
TRK00009,2023-06-01,24,37075,77900.56,6.72,2,5424.85,56.6,0.8
TRK00009,2023-07-01,29,43828,97859.66,6.53,0,0.0,0.0,0.935
TRK00009,2023-08-01,23,34752,72942.07,6.45,1,1254.32,18.9,0.742
TRK00009,2023-09-01,22,34468,82990.2,6.62,0,0.0,0.0,0.733
TRK00009,2023-10-01,23,33894,76302.01,6.59,0,0.0,0.0,0.742
TRK00009,2023-11-01,23,36336,75968.16,6.47,1,2607.49,34.2,0.767
TRK00009,2023-12-01,17,26748,55412.91,6.17,0,0.0,0.0,0.548
TRK00009,2024-01-01,28,44827,94896.21,6.51,0,0.0,0.0,0.903
TRK00009,2024-02-01,27,34427,72854.1,6.46,0,0.0,0.0,0.931
TRK00009,2024-03-01,30,42740,93901.4,6.65,0,0.0,0.0,0.968
TRK00009,2024-04-01,29,52724,112642.58,6.27,1,2287.45,19.1,0.967
TRK00009,2024-05-01,15,26236,52761.99,6.73,1,730.98,16.8,0.484
TRK00009,2024-06-01,31,42508,92879.03,6.59,1,2615.53,44.8,1.033
TRK00009,2024-07-01,25,40950,92549.26,6.65,0,0.0,0.0,0.806
TRK00009,2024-08-01,29,36931,85678.99,6.67,1,2433.33,8.6,0.935
TRK00009,2024-09-01,19,27512,59716.16,6.2,1,2828.31,42.8,0.633
TRK00009,2024-10-01,25,38508,83594.7,6.34,2,7384.61,70.1,0.806
TRK00009,2024-11-01,31,34976,70999.38,6.55,0,0.0,0.0,1.033
TRK00009,2024-12-01,31,45749,106019.37,6.58,1,1780.0,23.7,1.0
TRK00010,2022-01-01,31,40150,88320.41,6.55,0,0.0,0.0,1.0
TRK00010,2022-02-01,18,28270,60011.64,6.37,0,0.0,0.0,0.643
TRK00010,2022-03-01,19,25029,55816.05,6.7,1,2784.51,10.0,0.613
TRK00010,2022-04-01,28,36371,77500.67,6.48,0,0.0,0.0,0.933
TRK00010,2022-05-01,28,37971,77554.57,6.51,1,3344.06,38.2,0.903
TRK00010,2022-06-01,26,31748,68197.95,6.66,0,0.0,0.0,0.867
TRK00010,2022-07-01,30,45013,95518.45,6.47,0,0.0,0.0,0.968
TRK00010,2022-08-01,27,41322,95813.97,6.44,1,408.64,23.1,0.871
TRK00010,2022-09-01,25,28840,62516.28,6.35,0,0.0,0.0,0.833
TRK00010,2022-10-01,22,30090,69491.17,6.58,0,0.0,0.0,0.71
TRK00010,2022-11-01,21,32605,69160.36,6.34,0,0.0,0.0,0.7
TRK00010,2022-12-01,25,34478,70342.08,6.37,1,515.14,5.9,0.806
TRK00010,2023-01-01,16,23329,48238.95,6.73,2,3920.66,34.7,0.516
TRK00010,2023-02-01,16,28667,57622.16,6.58,1,4235.09,39.1,0.571
TRK00010,2023-03-01,19,30483,66172.76,6.35,0,0.0,0.0,0.613
TRK00010,2023-04-01,30,44528,96165.35,6.52,2,6656.49,47.4,1.0
TRK00010,2023-05-01,22,31065,68302.07,6.57,0,0.0,0.0,0.71
TRK00010,2023-06-01,30,47108,106143.61,6.56,1,799.81,19.2,1.0
TRK00010,2023-07-01,27,39873,83311.77,6.62,1,2394.73,3.4,0.871
TRK00010,2023-08-01,40,52185,108238.02,6.72,2,4991.86,49.0,1.29
TRK00010,2023-09-01,23,30858,65893.41,6.44,0,0.0,0.0,0.767
TRK00010,2023-10-01,20,26852,60451.25,6.41,0,0.0,0.0,0.645
TRK00010,2023-11-01,18,23860,56585.3,6.34,2,4359.52,68.6,0.6
TRK00010,2023-12-01,18,18660,36683.19,6.77,1,3166.37,45.2,0.581
TRK00010,2024-01-01,27,33106,72483.44,6.42,0,0.0,0.0,0.871
TRK00010,2024-02-01,24,33955,71306.14,6.43,0,0.0,0.0,0.828
TRK00010,2024-03-01,24,30742,69844.32,6.72,1,1203.2,39.1,0.774
TRK00010,2024-04-01,36,50531,107901.61,6.51,0,0.0,0.0,1.2
TRK00010,2024-05-01,31,47890,102147.08,6.49,1,713.04,31.0,1.0
TRK00010,2024-06-01,26,38255,90383.92,6.47,0,0.0,0.0,0.867
TRK00010,2024-07-01,26,31227,64976.46,6.27,1,3369.48,27.6,0.839
TRK00010,2024-08-01,32,50023,115900.57,6.57,0,0.0,0.0,1.032
TRK00010,2024-09-01,28,36563,78747.69,6.63,3,5333.21,57.7,0.933
TRK00010,2024-10-01,29,43212,92083.07,6.52,0,0.0,0.0,0.935
TRK00010,2024-11-01,19,30687,72444.7,6.47,2,591.7,25.8,0.633
TRK00010,2024-12-01,24,42592,95677.71,6.53,1,1619.21,38.1,0.774
TRK00011,2022-01-01,16,19983,45791.98,6.4,0,0.0,0.0,0.516
TRK00011,2022-02-01,21,26478,61368.66,6.46,2,2252.2,55.8,0.75
TRK00011,2022-03-01,28,46028,95935.42,6.6,0,0.0,0.0,0.903
TRK00011,2022-04-01,23,33904,76804.32,6.42,0,0.0,0.0,0.767
TRK00011,2022-05-01,35,48445,107106.48,6.55,1,1099.5,4.7,1.129
TRK00011,2022-06-01,30,43599,94478.87,6.65,1,3857.57,23.5,1.0
TRK00011,2022-07-01,27,39734,90696.26,6.69,0,0.0,0.0,0.871
TRK00011,2022-08-01,25,37501,81356.67,6.68,2,6111.72,86.6,0.806
TRK00011,2022-09-01,24,40095,84303.46,6.39,1,2023.53,47.5,0.8
TRK00011,2022-10-01,26,37603,85753.6,6.42,1,623.09,26.4,0.839
TRK00011,2022-11-01,26,33734,73100.91,6.58,1,3467.6,24.1,0.867
TRK00011,2022-12-01,26,35867,78224.17,6.55,0,0.0,0.0,0.839
TRK00011,2023-01-01,20,28161,59274.62,6.41,0,0.0,0.0,0.645
TRK00011,2023-02-01,28,35286,73792.04,6.58,1,1329.18,7.8,1.0
TRK00011,2023-03-01,21,33676,67281.17,6.71,1,3717.32,21.8,0.677
TRK00011,2023-04-01,28,39828,81054.77,6.4,0,0.0,0.0,0.933
TRK00011,2023-05-01,36,44599,95871.9,6.47,2,804.01,58.7,1.161
TRK00011,2023-06-01,21,30928,65627.07,6.65,0,0.0,0.0,0.7
TRK00011,2023-07-01,29,41373,91502.72,6.55,1,2848.39,15.5,0.935
TRK00011,2023-08-01,28,42918,90343.43,6.51,1,1633.97,33.8,0.903
TRK00011,2023-09-01,26,37688,75488.76,6.69,2,3982.54,50.7,0.867
TRK00011,2023-10-01,22,35091,74919.34,6.36,1,3561.66,24.9,0.71
TRK00011,2023-11-01,19,30478,66955.81,6.39,3,4622.64,100.0,0.633
TRK00011,2023-12-01,23,31740,73408.12,6.4,2,4529.71,74.8,0.742
TRK00011,2024-01-01,23,34440,73296.11,6.49,0,0.0,0.0,0.742
TRK00011,2024-02-01,29,42502,90490.25,6.42,0,0.0,0.0,1.0
TRK00011,2024-03-01,28,32800,71050.12,6.57,0,0.0,0.0,0.903
TRK00011,2024-04-01,21,25289,55601.16,6.44,0,0.0,0.0,0.7
TRK00011,2024-05-01,21,30817,72600.89,6.42,0,0.0,0.0,0.677
TRK00011,2024-06-01,27,35876,80517.69,6.34,0,0.0,0.0,0.9
TRK00011,2024-07-01,26,29775,66742.14,6.7,0,0.0,0.0,0.839
TRK00011,2024-08-01,24,32524,68668.78,6.41,0,0.0,0.0,0.774
TRK00011,2024-09-01,30,37316,77848.88,6.41,0,0.0,0.0,1.0
TRK00011,2024-10-01,29,45738,102143.53,6.68,0,0.0,0.0,0.935
TRK00011,2024-11-01,33,47211,94242.52,6.65,0,0.0,0.0,1.1
TRK00011,2024-12-01,28,35158,70401.5,6.55,0,0.0,0.0,0.903
TRK00012,2022-01-01,23,33277,68541.6,6.53,0,0.0,0.0,0.742
TRK00012,2022-02-01,31,44925,101164.2,6.55,1,405.68,6.9,1.107
TRK00012,2022-03-01,30,50455,107225.83,6.48,2,4148.21,33.1,0.968
TRK00012,2022-04-01,34,44917,100635.17,6.6,1,2172.77,43.2,1.133
TRK00012,2022-05-01,23,30795,66497.63,6.56,1,3247.28,39.1,0.742
TRK00012,2022-06-01,25,35335,70503.69,6.45,1,651.0,3.4,0.833
TRK00012,2022-07-01,25,34653,73484.64,6.63,2,2679.34,43.9,0.806
TRK00012,2022-08-01,26,39985,90712.2,6.58,0,0.0,0.0,0.839
TRK00012,2022-09-01,21,29417,56638.39,6.21,0,0.0,0.0,0.7
TRK00012,2022-10-01,22,29755,63626.97,6.62,1,3945.38,11.6,0.71
TRK00012,2022-11-01,27,34248,75105.74,6.33,0,0.0,0.0,0.9
