truck_id,unit_number,make,model_year,vin,acquisition_date,acquisition_mileage,fuel_type,tank_capacity_gallons,status,home_terminal
TRK00047,6968,Mack,2015,1MT808220883834648,2015-09-06,47515,Diesel,150,Maintenance,Phoenix
TRK00048,4891,Volvo,2015,1MT866431853044978,2015-07-04,7395,Diesel,150,Active,Las Vegas
TRK00049,8277,Peterbilt,2015,1NT223732426577573,2016-12-20,2111,Diesel,250,Active,Minneapolis
TRK00050,5668,Peterbilt,2015,1NT453185644930902,2015-09-03,43266,Diesel,150,Active,Columbus
TRK00051,8355,Mack,2016,1MT877433803899130,2018-05-19,27475,Diesel,250,Active,Columbus
TRK00052,4833,Freightliner,2015,1NU972541941349939,2018-06-17,40299,Diesel,200,Active,Indianapolis
TRK00053,9749,Peterbilt,2015,1MV170122760242723,2020-04-23,1025,Diesel,150,Active,Las Vegas
TRK00054,4918,Freightliner,2016,1NV731502816958608,2017-01-26,15772,Diesel,250,Active,Los Angeles
TRK00055,6070,Peterbilt,2017,1VV691633799611733,2021-03-28,13505,Diesel,250,Active,Atlanta
TRK00056,8684,Kenworth,2015,1MU294987034236724,2016-09-29,4409,Diesel,250,Inactive,Dallas
TRK00057,4178,Mack,2015,1MV715049377005134,2017-01-16,6612,Diesel,150,Active,Denver
TRK00058,7026,Mack,2015,1VV866452895220495,2018-08-10,38924,Diesel,200,Active,Columbus
TRK00059,8218,Mack,2015,1VV316468431256116,2018-12-03,2200,Diesel,150,Active,Dallas
TRK00060,8564,Freightliner,2015,1NU436079292908621,2015-05-16,29257,Diesel,250,Active,Kansas City
TRK00061,5616,International,2018,1NU425390034513228,2021-05-16,39176,Diesel,200,Active,Kansas City
TRK00062,7256,Mack,2017,1NV650570590608475,2018-01-21,44041,Diesel,200,Active,Seattle
TRK00063,9239,Peterbilt,2015,1VU731052452964922,2016-04-24,46090,Diesel,200,Active,Portland
TRK00064,9641,Kenworth,2020,1VU745675841954861,2021-03-04,3190,Diesel,200,Active,Atlanta
TRK00065,7859,Freightliner,2015,1MU488586386042743,2018-07-10,16038,Diesel,250,Active,Detroit
TRK00066,3655,Peterbilt,2015,1NU423840714792581,2016-10-28,48532,Diesel,250,Maintenance,Las Vegas
TRK00067,4271,International,2015,1FU598074146039095,2016-12-07,2899,Diesel,200,Active,Portland
TRK00068,3267,Peterbilt,2020,1VV340928248098898,2021-07-31,26362,Diesel,200,Active,Omaha
TRK00069,5096,Mack,2016,1NV883821060467126,2021-05-13,28767,Diesel,200,Active,Dallas
TRK00070,1854,Kenworth,2015,1VT793191010829814,2017-11-13,15357,Diesel,200,Active,Oklahoma City
TRK00071,8873,Mack,2017,1NT854162115475075,2018-10-14,35373,Diesel,250,Active,Columbus
TRK00072,7081,Volvo,2017,1NV159099750018373,2021-02-21,14238,Diesel,200,Active,Houston
TRK00073,2680,Mack,2016,1FU907674313580395,2020-12-28,49439,Diesel,200,Active,Memphis
TRK00074,9452,Volvo,2015,1MT967805362821388,2015-02-08,3699,Diesel,150,Active,Indianapolis
TRK00075,3042,Mack,2015,1NT719643369337760,2015-05-05,9183,Diesel,250,Inactive,Phoenix
TRK00076,5670,Kenworth,2015,1NU637560149881760,2016-04-26,33023,Diesel,200,Active,Nashville
TRK00077,2374,Kenworth,2015,1NU421346537524210,2017-09-10,18957,Diesel,200,Maintenance,Portland
TRK00078,3626,Freightliner,2015,1FT746416854486193,2016-10-24,15346,Diesel,150,Active,Phoenix
TRK00079,5469,Mack,2015,1NV914157173264203,2015-06-30,47940,Diesel,200,Active,New York
TRK00080,8361,Volvo,2015,1FT297919985452583,2015-10-15,37755,Diesel,200,Active,Miami
TRK00081,9410,Freightliner,2018,1FU657752132291004,2021-07-17,20899,Diesel,200,Inactive,Detroit
TRK00082,3414,Peterbilt,2015,1NV425914685665284,2016-12-16,37845,Diesel,150,Active,Miami
TRK00083,8167,Kenworth,2015,1FT739466077384341,2015-08-05,39185,Diesel,250,Active,Charlotte
TRK00084,2502,Freightliner,2015,1FU611549007005766,2019-11-22,44075,Diesel,150,Active,New York
TRK00085,4637,Kenworth,2015,1MT667695252589838,2018-05-26,21015,Diesel,250,Active,Dallas
TRK00086,8391,Freightliner,2015,1MU472314018835209,2015-03-21,15525,Diesel,150,Active,Phoenix
TRK00087,6727,Peterbilt,2015,1NV829905893174057,2016-09-01,19776,Diesel,150,Maintenance,Las Vegas
TRK00088,1436,Peterbilt,2015,1VV115857818975755,2016-05-19,9388,Diesel,200,Inactive,Miami
TRK00089,7797,International,2019,1VU859309706861616,2020-04-24,43267,Diesel,250,Active,Las Vegas
TRK00090,1872,Volvo,2017,1NT680153134413264,2021-04-23,34160,Diesel,250,Active,Detroit
TRK00091,7495,International,2015,1VT853515078943231,2016-12-13,14486,Diesel,250,Active,Charlotte
TRK00092,9224,Volvo,2015,1FT258316710836362,2020-11-04,27103,Diesel,250,Active,Dallas
TRK00093,7126,Peterbilt,2015,1MU379279972794550,2018-02-25,19693,Diesel,200,Active,Denver
TRK00094,4862,Freightliner,2015,1FU365172928294515,2021-01-21,18032,Diesel,200,Inactive,Miami
TRK00095,7326,Mack,2015,1MU471127926628434,2016-05-06,3994,Diesel,150,Active,Houston
TRK00096,2337,Kenworth,2018,1VV745004113400907,2020-01-26,36485,Diesel,150,Active,Oklahoma City
TRK00097,7142,Peterbilt,2016,1FU504820655065872,2021-07-25,38775,Diesel,200,Active,Salt Lake City
TRK00098,4678,Peterbilt,2018,1NT233108199589879,2019-03-24,48182,Diesel,150,Active,Charlotte
TRK00099,1461,Freightliner,2015,1MU556456925295542,2017-02-03,11477,Diesel,200,Active,Kansas City
TRK00100,6221,Mack,2015,1VV819124058535238,2017-01-28,41025,Diesel,250,Inactive,Kansas City
TRK00101,2623,Peterbilt,2015,1VU348655476430824,2016-02-16,44482,Diesel,150,Active,Philadelphia
TRK00102,6493,Peterbilt,2015,1NT272470760513799,2016-02-21,27997,Diesel,200,Inactive,Minneapolis
TRK00103,3392,Freightliner,2015,1MV782002103958545,2015-03-02,36428,Diesel,250,Active,Los Angeles
TRK00104,3254,Peterbilt,2018,1VU718383816155959,2020-03-22,32481,Diesel,250,Maintenance,New York
TRK00105,1627,Volvo,2015,1MV847705711168299,2017-12-03,3072,Diesel,250,Active,Detroit
TRK00106,5700,Volvo,2017,1NT949762201559873,2017-10-27,22571,Diesel,200,Active,Atlanta
TRK00107,8740,Mack,2017,1FV694670205670221,2018-10-31,42160,Diesel,200,Active,Portland
TRK00108,3273,Volvo,2015,1VT735199537843337,2017-08-29,43997,Diesel,200,Active,Seattle
TRK00109,8685,Volvo,2015,1FT716597654505822,2017-06-02,24979,Diesel,250,Maintenance,Kansas City
TRK00110,8349,Peterbilt,2016,1NV268717210259310,2018-03-18,34371,Diesel,250,Active,Portland
TRK00111,1086,Kenworth,2015,1NU685854389033038,2015-04-20,20888,Diesel,250,Active,Seattle
TRK00112,2298,Volvo,2016,1MT331261140931634,2021-06-01,45633,Diesel,200,Active,Minneapolis
TRK00113,1311,Mack,2015,1MT674631830199518,2018-04-02,27284,Diesel,200,Active,Seattle
TRK00114,5193,Volvo,2016,1MT248556276310965,2021-04-07,26755,Diesel,150,Active,Las Vegas
TRK00115,4533,Peterbilt,2015,1MU165006752005085,2018-04-22,9779,Diesel,250,Active,Salt Lake City
TRK00116,3449,International,2019,1MV446968103715126,2020-12-10,19653,Diesel,200,Active,Kansas City
TRK00117,9991,Peterbilt,2015,1FU939700479057712,2015-09-30,24671,Diesel,150,Inactive,New York
TRK00118,9647,Freightliner,2015,1NV150990165397549,2017-09-01,12050,Diesel,150,Inactive,Detroit
TRK00119,7934,Mack,2015,1MU171789091515507,2018-10-26,49441,Diesel,250,Inactive,Seattle
TRK00120,2821,Volvo,2017,1FT135731860465802,2019-03-06,35253,Diesel,250,Active,Kansas City
