driver_id,month,trips_completed,total_miles,total_revenue,average_mpg,total_fuel_gallons,on_time_delivery_rate,average_idle_hours
DRV00009,2024-11-01,20,32777,72533.72,6.44,5097.5,0.3,8.7
DRV00009,2024-12-01,16,28904,65198.58,6.41,4569.2,0.562,7.6
DRV00010,2022-01-01,15,21517,52197.33,6.5,3381.9,0.6,6.7
DRV00010,2022-02-01,18,20614,41574.18,6.45,3250.0,0.667,7.4
DRV00010,2022-03-01,25,34627,74999.41,6.44,5417.7,0.44,6.7
DRV00010,2022-04-01,25,34990,73654.24,6.39,5450.7,0.6,7.7
DRV00010,2022-05-01,20,23857,55206.06,6.53,3615.9,0.3,7.3
DRV00010,2022-06-01,19,30349,67262.91,6.39,4798.4,0.368,6.7
DRV00010,2022-07-01,25,30833,65811.01,6.53,4785.1,0.36,6.9
DRV00010,2022-08-01,19,26176,59032.15,6.58,4043.0,0.474,6.0
DRV00010,2022-09-01,12,13784,28282.14,6.57,2130.7,0.25,7.6
DRV00010,2022-10-01,23,32015,70765.94,6.38,5056.8,0.478,6.4
DRV00010,2022-11-01,25,37412,81258.34,6.36,5827.9,0.68,7.1
DRV00010,2022-12-01,14,20940,44257.37,6.4,3317.4,0.286,6.5
DRV00010,2023-01-01,21,38306,77449.95,6.47,6003.5,0.476,6.7
DRV00010,2023-02-01,13,18595,39718.41,6.68,2871.6,0.385,5.1
DRV00010,2023-03-01,21,35515,72798.04,6.65,5325.4,0.429,6.5
DRV00010,2023-04-01,22,35533,73586.58,6.36,5640.3,0.5,7.0
DRV00010,2023-05-01,22,32326,67476.22,6.45,5101.9,0.545,8.1
DRV00010,2023-06-01,16,23400,47431.53,6.46,3709.5,0.438,7.8
DRV00010,2023-07-01,23,35597,79055.1,6.55,5425.3,0.348,6.9
DRV00010,2023-08-01,23,36483,81202.75,6.14,5971.2,0.478,6.8
DRV00010,2023-09-01,19,24310,56157.46,6.4,3801.7,0.316,6.3
DRV00010,2023-10-01,19,25649,52674.46,6.25,4149.0,0.211,7.1
DRV00010,2023-11-01,15,17799,37796.08,6.41,2771.2,0.467,7.1
DRV00010,2023-12-01,22,27179,57754.01,6.6,4213.1,0.5,7.3
DRV00010,2024-01-01,16,21368,39551.31,6.46,3373.3,0.625,5.7
DRV00010,2024-02-01,13,16656,35414.44,6.49,2549.8,0.231,6.6
DRV00010,2024-03-01,21,22196,50243.69,6.47,3493.6,0.476,8.1
DRV00010,2024-04-01,18,27186,61790.2,6.57,4162.2,0.444,7.7
DRV00010,2024-05-01,15,19804,39870.94,7.04,2807.5,0.467,8.7
DRV00010,2024-06-01,19,25800,54226.2,6.67,3927.8,0.579,7.3
DRV00010,2024-07-01,27,43427,93092.85,6.45,6772.3,0.37,7.5
DRV00010,2024-08-01,25,33412,73906.5,6.58,5111.9,0.32,7.2
DRV00010,2024-09-01,23,38773,81136.56,6.56,5964.4,0.391,7.0
DRV00010,2024-10-01,20,26674,58230.75,6.63,4059.3,0.45,6.1
DRV00010,2024-11-01,20,24908,53222.38,6.59,3846.0,0.55,6.1
DRV00010,2024-12-01,16,20106,46571.44,6.47,3064.2,0.25,7.5
DRV00011,2022-01-01,9,12200,23019.41,6.46,1863.4,0.556,5.0
DRV00011,2022-02-01,16,21051,42789.66,6.59,3230.3,0.375,5.7
DRV00011,2022-03-01,17,28277,60414.58,6.57,4300.2,0.235,6.8
DRV00011,2022-04-01,23,33593,78642.95,6.36,5309.6,0.609,7.5
DRV00011,2022-05-01,15,21152,45907.32,6.49,3256.7,0.6,8.1
DRV00011,2022-06-01,18,26511,61930.0,6.56,4069.1,0.333,6.3
DRV00011,2022-07-01,25,35152,71823.59,6.44,5457.8,0.6,7.3
DRV00011,2022-08-01,21,29507,65280.72,6.39,4679.6,0.381,6.1
DRV00011,2022-09-01,23,29041,62837.67,6.55,4403.7,0.348,6.0
DRV00011,2022-10-01,22,30534,65221.5,6.64,4647.0,0.273,7.7
DRV00011,2022-11-01,26,36696,78049.07,6.59,5706.5,0.346,8.1
DRV00011,2022-12-01,21,31649,72190.97,6.32,4967.7,0.381,6.7
DRV00011,2023-01-01,20,32873,66589.31,6.43,5098.4,0.55,7.1
DRV00011,2023-02-01,14,20669,43559.0,6.69,3087.5,0.429,7.1
DRV00011,2023-03-01,22,26346,52878.92,6.4,4070.3,0.455,7.1
DRV00011,2023-04-01,19,24121,56056.85,6.42,3793.9,0.421,7.4
DRV00011,2023-05-01,21,37392,84380.51,6.38,5921.9,0.476,8.4
DRV00011,2023-06-01,15,22786,53514.08,6.62,3516.0,0.533,6.2
DRV00011,2023-07-01,26,34707,69301.58,6.55,5322.0,0.462,7.7
DRV00011,2023-08-01,15,20158,43059.76,6.5,3102.3,0.467,8.0
DRV00011,2023-09-01,23,33717,66910.32,6.35,5314.4,0.391,8.0
DRV00011,2023-10-01,15,23814,54882.09,6.65,3618.7,0.467,7.5
DRV00011,2023-11-01,18,28327,60227.35,6.44,4421.6,0.5,6.4
DRV00011,2023-12-01,13,18664,36058.47,6.72,2749.8,0.231,7.0
DRV00011,2024-01-01,22,30880,64664.31,6.61,4659.3,0.455,7.3
DRV00011,2024-02-01,16,19018,41239.39,6.39,2962.6,0.25,6.9
DRV00011,2024-03-01,15,22964,50309.4,6.68,3404.1,0.333,6.8
DRV00011,2024-04-01,24,30604,67750.07,6.32,4787.3,0.583,6.5
DRV00011,2024-05-01,26,32808,71107.28,6.46,5088.9,0.577,6.9
DRV00011,2024-06-01,28,44778,100841.93,6.53,6941.2,0.536,6.8
DRV00011,2024-07-01,11,13185,25457.5,6.24,2127.4,0.364,7.3
DRV00011,2024-08-01,18,27523,58668.04,6.64,4204.3,0.611,6.7
DRV00011,2024-09-01,18,23879,51482.46,6.69,3582.8,0.389,6.9
DRV00011,2024-10-01,16,22897,46139.76,6.32,3556.1,0.5,7.7
DRV00011,2024-11-01,24,37923,87866.86,6.61,5735.9,0.208,7.0
DRV00011,2024-12-01,21,32709,72343.87,6.43,5159.2,0.571,7.0
DRV00012,2022-01-01,25,31234,66400.81,6.64,4765.4,0.52,7.6
DRV00012,2022-02-01,13,18129,37129.23,6.64,2800.9,0.462,5.4
DRV00012,2022-03-01,21,23292,48726.14,6.46,3696.4,0.429,7.3
DRV00012,2022-04-01,18,32552,62400.03,6.39,5172.0,0.556,7.3
DRV00012,2022-05-01,18,19862,40914.54,6.72,2954.2,0.222,7.0
DRV00012,2022-06-01,22,30444,64982.69,6.39,4838.1,0.273,6.5
DRV00012,2022-07-01,16,24979,48720.2,6.53,3846.2,0.562,6.9
DRV00012,2022-08-01,21,27354,61921.08,6.45,4337.2,0.476,6.8
DRV00012,2022-09-01,13,21068,47805.71,6.5,3247.0,0.462,7.5
DRV00012,2022-10-01,19,22751,50412.59,6.54,3548.5,0.526,7.1
DRV00012,2022-11-01,17,27457,56719.96,6.36,4390.2,0.412,5.8
DRV00012,2022-12-01,16,22882,53134.43,6.71,3474.5,0.25,8.2
DRV00012,2023-01-01,9,10574,21680.73,6.32,1720.2,0.222,7.4
DRV00012,2023-02-01,14,18213,42889.4,6.44,2813.7,0.5,7.5
DRV00012,2023-03-01,19,24697,52451.47,6.68,3759.8,0.474,6.8
DRV00012,2023-04-01,16,27952,52280.71,6.43,4411.2,0.688,5.8
DRV00012,2023-05-01,11,11567,22635.97,6.35,1858.4,0.455,7.9
DRV00012,2023-06-01,11,15485,33845.69,6.73,2304.4,0.545,6.1
DRV00012,2023-07-01,14,16808,35800.43,6.46,2713.3,0.143,6.1
DRV00012,2023-08-01,20,27350,53931.35,6.45,4277.8,0.55,7.1
DRV00012,2023-09-01,14,21780,48296.72,6.47,3377.4,0.571,7.7
DRV00012,2023-10-01,15,20640,44493.75,6.61,3139.5,0.6,5.2
DRV00012,2023-11-01,21,24931,55292.63,6.52,3915.7,0.286,6.1
